accession,entry_type,title,summary,organism,gds_type,n_samples,platform,pubmed_ids,release,flag_organoid,flag_5fu,flag_platinum,flag_irinotecan,flag_paired,flag_persister,flag_patient,relevance,geo_url,pubmed_url
GSE311016,GSE,Overcoming ADC resistance in advanced colorectal cancer by dual targeting of TROP2 and PERK to suppress Wnt/β-catenin signaling,"Targeted therapy for advanced colorectal cancer (CRC) remains a significant clinical challenge. In this study, we systematically examined the anti-tumor efficacy and underlying mechanisms of IMMU132, an FDA-approved anti-TROP2 antibody conjugate linked to the topoisomerase I inhibitor SN-38, both as a standalone treatment and in combination with the PERK inhibitor GSK2606414 in TROP2-positive advanced CRC. We first established that TROP2 expression was markedly elevated in CRC cohorts and correlated with poor patient prognosis. In vitro experiments demonstrated that IMMU132 inhibited CRC cell proliferation and viability in a dose-dependent manner. In patient-derived xenograft (PDX) models, IMMU132 monotherapy significantly inhibited tumor growth. Mechanistically, transcriptomic analysis indicated that PERK, a key factor in endoplasmic reticulum stress (ERS), may serve as a critical synergistic target for IMMU132’s anti-tumour activity. Subsequent screening of various ERS inhibitors revealed that the specific PERK inhibitor GSK2606414 significantly enhanced the effects of IMMU132. In diverse experimental models, including cell lines, organoids, and PDX models, combination therapy exhibited superior anti-tumor effects compared to monotherapy, highlighting a pronounced synergistic effect. Furthermore, transcriptomic analysis showed that combination therapy notably inhibited the Wnt/β-catenin signaling pathway. Gene set enrichment analysis confirmed significant upregulation of Wnt pathway-related genes, while Western blot analysis showed downregulation of key molecules in the Wnt pathway, including β-catenin, GSK3B, JUN, and WNT2B, following combination therapy. These findings suggest that the synergistic anti-tumour effects of IMMU132 and GSK2606414 may arise from their dual modulation of ERS and Wnt signalling pathways, offering novel insights for targeted therapy in advanced CRC and informing strategies for combining antibody-drug conjugates (ADCs).",Homo sapiens,Expression profiling by high throughput sequencing,10,24676,NA,2025/12/18,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311016,NA
GSE276573,GSE,Enrichment of ornithine decarboxylase degron transduced colorectal cancer cells for extended application of cancer stem cell models,"Cancer stem cells (CSCs) are present in small quantities in tumor populations. To permit various analyses of CSCs, we attempted to enrich and expand ornithine decarboxylase (ODC) degron-transduced colorectal cancer (CRC) cells, which retain low proteasome activity. ZsGreen fluorescence-positive (ZsGreen+) cells were collected by sorting the ODC degron-transduced HCT116, DLD1, and SW480 cells, which were defined as enriched ZsGreen+ cells. ZsGreen+ cells still maintained CSC properties. These cells had higher stem cell marker expression and increased resistance to chemotherapy with 5-fluorouracil and oxaliplatin. ZsGreen+ HCT116 and DLD1 cells had greater sphere-forming ability and enhanced tumorigenicity compared to ZsGreen- control cells. Time-lapse microscopy showed that a single enriched ZsGreen+ HCT116 cell had asymmetric cell division. Thus, model CSCs were acquired in sufficient quantity. Using these cells, we performed a comprehensive microRNA analysis; miR-491-3p was a candidate to suppress cancer stemness. Finally, we found that up-regulated genes in the enriched HCT116 ZsGreen+ cells correlated with those up-regulated in human clinical spheroid samples established from patient-derived xenografts derived from CRC tissue samples, further supporting the acquisition of enriched model CSCs. These cells would be useful in identifying novel CSC markers and developing medicine for anti-CSC therapy.",Homo sapiens,Expression profiling by high throughput sequencing,6,21290,40595888,2025/07/03,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276573,https://pubmed.ncbi.nlm.nih.gov/40595888/
GSE204805,GSE,RNAseq analysis on metastatic Colorectal Cancer,"In this study we want present a bank of metastatic colorectal cancer (mCRC) Patient Derived Organoids (PDOs) obtained from Patient Derived Xenografts (PDXs). These models are annotated with different omics to advance our understanding of CRC. We wanted to create a resource for the scientific community to assess the predictive reliability of these preclinical models. We performed comparative analyses between PDOs and matched PDXs to assess the similarities of these two platforms regarding molecular profiles and transcriptional classification. Moreover, we analyzed how these models respond to Cetuximab, a chimeric monoclonal antibody, normally given to patients after chemotherapy, that inhibits EGFR. After having assessed models’ reliability with Cetuximab, we aimed at identifying potential synergistic drugs to individuate new possible therapeutic prospects.",Homo sapiens,Expression profiling by high throughput sequencing,1225,18573,39209908; 40981426,2023/03/01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204805,https://pubmed.ncbi.nlm.nih.gov/39209908/
GSE190826,GSE,Inflammatory fibroblasts mediate resistance to neoadjuvant therapy in rectal cancer,"Standard cancer therapy targets tumor cells while not considering the possible collateral damage on the tumor microenvironment that could impair therapy response. Employing patient-derived tumor organoids and primary stroma cells or a novel murine rectal cancer model, we show that tumor cell-derived IL-1a polarizes cancer-associated fibroblasts (CAFs) towards a pro-inflammatory phenotype causing an elevated oxidative DNA damage mediated by reactive nitrogen species (NOS) and subsequently sensitizing iCAFs to a p53-mediated therapy-induced senescence, which triggers changes in matrisome composition culminating in chemoradiotherapy resistance and disease progression. Consequently, IL-1 inhibition, prevention of iCAF senescence or senolytic therapy sensitizes mice to irradiation. Importantly, rectal cancer patients with poor response to radiotherapy are characterized by an increased number of CAFs, a dominant inflammatory CAF gene signature as well as lower IL-1 receptor antagonist (IL-1RA) serum levels. Low baseline IL1RA gene expression predicts poor outcome while IL-1RA serum levels are associated with a single nucleotide polymorphism (SNP) in IL1RA (rs4251961 T/C). Moreover, conditioned supernatant from patient tumor organoids sensitizes fibroblasts to undergo radiation-induced senescence in an IL-1-dependent manner. Collectively, we unravel a critical role for inflammatory CAFs in cancer therapy and identify IL-1 signaling as an attractive target for stroma-repolarization and prevention of CAF senescence.",Homo sapiens,Expression profiling by high throughput sequencing,117,20301,NA,2022/01/12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190826,NA
GSE305337,GSE,Patient-Specific Pharmacogenomics demonstrates xCT as Predictive Therapeutic Target in Colon Cancer with Possible Implications in Tumor Connectivity,"Colorectal cancer (CRC) represents the third-leading cause of cancer-related deaths. Knowledge covering diverse cellular and molecular data from individual patients has become valuable for diagnosis, prognosis, and treatment selection. Here, we present an in-depth comparative mRNA-seq analysis of tissue samples from 32 CRC patients, pairing tumors with adjacent healthy tissues. The differential expression gene (DEG) analysis revealed apparently dysregulated metabolic programs,in what we focused on the impact of overexpressed SLC7A11 (xCT) and SLC3A2 genes which compose the cystine/glutamate transporter (Xc-) system. To assess the oncogenic potency of the Xc- system in a cellular setting, we applied a knowledge-based approach for analyzing gene perturbations from CRISPR screens across various cell types as well as using a variety of functional assays in five primary patient-derived organoid cell models to functionally verify our hypothesis. We identified a previously undescribed cell surface protein signature predicting chemotherapy resistance and further highlighted the causality and potential of pharmacological blockage of ferroptosis as promising avenue for cancer therapy. Biological processes such as redox homeostasis, ion/amino acid transporters and regulators of neuronal survival and differentiation were associated with these co-dependent genes in patient specimens. This study highlights a number of potential clinical targets for CRC and promotes patient-individual in vitro model systems as functionally validate in silico predictions.",Homo sapiens,Expression profiling by high throughput sequencing,73,18460,40988536,2025/09/21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305337,https://pubmed.ncbi.nlm.nih.gov/40988536/
GSE292601,GSE,Epithelial interferon-stimulated gene programs modulate chemotherapy sensitivity in colorectal cancer via EPSTI1,"Precision oncology research typically utilizes patient-derived tumor organoids (PDTO) to predict clinical outcomes, but such efforts are often not directed towards identification of molecular factors underlying differential responses to therapy. Here, we performed bulk RNA-sequencing on treatment-naive PDTOs and combined gene expression data with in vitro drug response data to identify transcriptomic features and programs associated with low chemosensitivity.",Homo sapiens,Expression profiling by high throughput sequencing,62,24676,NA,2026/06/30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292601,NA
GSE294953,GSE,Combined MEK and PARP inhibition enhances radiation response in rectal cancer,"Rectal cancer is most frequently diagnosed at a locally advanced stage and treated by neoadjuvant chemoradiation. Current efforts to improve treatment outcome are focused on intensifying neoadjuvant chemotherapy, which is however associated with higher levels of toxicity. To discover alternative strategies, we established patient-derived rectal cancer organoids (PDOs) that reflect clinical radiosensitivity and used these organoids to screen 1596 drug-radiation combinations. We found that inhibitors of RAS-MAPK signaling, especially MEK inhibitors, strongly enhance radiation response. Mechanistically, MEK inhibitors suppressed radiation-induced activation of RAS-MAPK signaling, and selectively downregulated RAD51, a key component of the homologous recombination DNA repair pathway. Through testing drug-drug-radiation combinations in organoids and cell lines, we identified that a combined PARP and MEK inhibition can further enhance radiosensitivity of colorectal cancers, which was confirmed in mouse xenograft models. Our data support clinical testing of MEK and PARP combination therapy with radiation in locally advanced rectal cancers as an alternative to chemoradiation Microarrays were used to investigate the effect of radiation treatment on gene expression in three patient-derived colorectal cancer organoid lines.",Homo sapiens,Expression profiling by array,28,570,40782795,2025/04/23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294953,https://pubmed.ncbi.nlm.nih.gov/40782795/
GSE147971,GSE,Medium-throughput drug screening of patient-derived organoids from colorectal peritoneal metastases can be used to guide therapy,"Purpose: Colorectal cancer (CRC) patients with peritoneal metastases (CRPM) have limited treatment options and the lowest CRC survival rates. We aimed to determine whether organoid testing could help guide precision treatment for CRPM patients, as the clinical utility of prospective, functional drug screening including non-standard agents is unknown. Experimental Design: CRPM organoids (peritonoids) isolated from patients underwent parallel next-generation sequencing and medium-throughput drug panel testing ex vivo to identify specific drug sensitivities for each patient. We measured the utility of such a service including: success of peritonoid generation, time to cultivate peritonoids, reproducibility of the medium-throughput drug testing, and documented changes to clinical therapy as a result of the testing. Results: Peritonoids were successfully generated and validated from 68% (19/28) of patients undergoing standard care. Genomic and drug profiling was completed within 8 weeks and a formal report ranking drug sensitivities was provided to the medical oncology team upon failure of standard care treatment. This resulted in a treatment change for 2 patients, one of whom had a partial response despite previously progressing on multiple rounds of standard care chemotherapy. The barrier to implementing this technology in Australia is the need for drug access and funding for off-label indications. Conclusions: Our approach is feasible, reproducible and can guide novel therapeutic choices in this poor prognosis cohort, where new treatment options are urgently needed. This platform is relevant to many solid organ malignancies.",Homo sapiens,Expression profiling by high throughput sequencing,17,18573,32376656,2020/05/31,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147971,https://pubmed.ncbi.nlm.nih.gov/32376656/
GSE244082,GSE,several colorectal cancer patient derived tumor organoid RNAseq data,"Acquired drug resistance is a major challenge for cancer therapy and the leading cause of cancer mortality. However, the mechanisms of drug resistance are diverse and the strategy to specifically target drug resistant cancer cells remains an unmet clinical issue. We establisheda32 colorectal cancer (CRC) PDO biobank and induced acquired drug resistance by repeated low-level exposures of chemo-agents. Chemosensitivity profiling and transcriptomic analysis studies34 revealed that chemo-resistant PDOs exhibited elevated expression of LGR4 and activationof the35 Wnt signaling pathway. Further, we performed antibody screening against LGR4 and selecteda36 monoclonal antibody (LGR4-mAb) that potently inhibited the LGR4/Wnt signaling. In drug resistant PDOs and xenograft models, treatment with LGR4-mAb significantly sensitizeddrug- 38 induced ferroptosis. Mechanistically, LGR4 dependent Wnt signaling transcriptionally up-regulated SLC7A11, a key inhibitor of ferroptosis, to confer acquired drug resistance. Targeting40 Wnt signaling by LGR4-mAb and by other modulators augments ferroptosis when co-administrated with chemotherapeutic agents. Finally, LGR4-mAb therapy was effective against other cancers that express high levels of LGR4. Collectively, our results demonstrate a new strategy to selectively activate ferroptosis and provide a new opportunity to fight refractoryand44 recurrent cancers.",Homo sapiens,Expression profiling by high throughput sequencing,14,24676,NA,2023/09/25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244082,NA
GSE155354,GSE,p53 wild-type colorectal cancer cells that express a fetal gene signature are associated with metastasis and poor prognosis,"Current therapy against colorectal cancer (CRC) is based on DNA-damaging agents that remain ineffective in a proportion of patients. Whether and how non-curative DNA damage-based treatment affects tumor cell behavior and patient outcome is primarily unstudied. Using CRC patient-derived organoids (PDO)s, we show that sublethal doses of chemotherapy (CT) does not select previously resistant tumor populations but induces a quiescent state specifically to TP53 wildtype (WT) cancer cells, which is linked to the acquisition of a YAP1-dependent fetal phenotype. Cells displaying this phenotype exhibit high tumor-initiating and metastatic activity. Nuclear YAP1 and fetal traits are present in a proportion of tumors at diagnosis and predict poor prognosis in patients carrying TP53 WT CRC tumors. We provide data indicating the higher efficacy of CT together with YAP1 inhibitors for eradication of therapy resistant TP53 WT cancer cells. Together these results identify fetal conversion as a useful biomarker for patient prognosis and therapy prescription.",Homo sapiens,Expression profiling by high throughput sequencing,14,11154,35606354,2022/04/08,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155354,https://pubmed.ncbi.nlm.nih.gov/35606354/
GSE309532,GSE,SPOCK1 activates Wnt/β-Catenin signaling to drive colorectal cancer stemness and progression,"Colorectal cancer (CRC) ranks second in cancer-related mortality worldwide, with clinical intractability and chemoresistance representing significant challenges driven by cancer stem cells (CSCs). Wnt/β-catenin signaling is a lynchpin of CSC self-renewal, but targetable upstream drivers remain elusive. Using bioinformatics we identified the proteoglycan SPOCK1 as a Wnt-associated CSC target. Critically, high SPOCK1 expression predicted poor patient prognosis and reduced progression-free survival following first-line chemotherapy. In vitro assays demonstrated that SPOCK1 levels modulated Wnt/β-catenin activity. SPOCK1 silencing inhibited β-catenin nuclear translocation and TCF/LEF-mediated transcription, which concurrently suppressed CRC proliferation and stemness. Conversely, SPOCK1 overexpression promoted β-catenin nuclear translocation and TCF/LEF-mediated transcription, which enhanced CRC proliferation and stemness. This SPOCK1-driven pro-tumorigenic effect was significantly reversed by the β-catenin/TCF/LEF inhibitor iCRT3, demonstrating SPOCK1’s dependence on Wnt transcriptional activation. The functional role was validated in vivo using a SPOCK1-overexpressing xenograft model and ex vivo using patient-derived organoids (PDOs), both confirming increased growth and β-catenin nuclear localization. Furthermore, data-independent acquisition (DIA) mass spectrometry of SPOCK1-overexpressing tumors revealed pro-tumorigenic signaling including c-Myc activity, oxidative phosphorylation, epithelial-mesenchymal transition. Notably, SPOCK1 drove remodeling of the tumor microenvironment, characterized by desmoplasia and fibrosis. Overall, our findings establish a SPOCK1/Wnt/β-catenin axis as a novel mechanism driving CRC tumorigenesis and stemness, positioning it as a promising therapeutic target to overcome Wnt-mediated progression and resistance.",Homo sapiens,Expression profiling by high throughput sequencing,8,24676,NA,2025/10/10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309532,NA
GSE213103,GSE,"Transcriptional profiling of human colon “cancer stem cell” populations (EpCAM+, CD44+, CD166+) following in vivo exposure to irinotecan.","In human colon cancer, the malignant component of tumor tissues often contains multiple sub-types of cancer cells, whose transcriptional profiles and surface marker phenotypes correspond to those of the epithelial lineages that are found in normal colonic crypts (e.g., goblet cells, enterocytes, LGR5+ columnar basal cells). Among those various sub-types of malignant cells, those characterized by a surface marker phenotype that is characteristic of epithelial stem/progenitor cells residing at the bottom of colonic crypts (EpCAM+, CD44+, CD166+) are enriched in cells with ""cancer stem cell"" (CSC) properties, such as self-renewal (i.e., the capacity to sustain the formation of new tumors upon serial xeno-transplantation in immune-deficient animals) and multi-lineage differentiation (i.e., the capacity to sustain the formation of other cell-types, thus reconstituting the heterogeneous population of the parent tumors from which they have been isolated). Cell populations with ""cancer stem cell"" (CSC) properties are known to be preferentially resistant to several cytotoxic agents used in conventional chemotherapy, but the molecular mechanisms underpinning this property remain poorly understood.              In this dataset, we report the analysis by gene-expression microarrays of the transcriptional profile of two sub-populations of human colon cancer cells: 1) cells with a ""bottom-of-the-crypt"" phenotype (EpCAM+, CD44+, CD166+), which are known to be enriched in ""cancer stem cells"" (CSCs); and 2) cells with a ""top-of-the-crypt"" phenotype (EpCAM+, CD44neg, CD166neg), which are known to be non-tumorigenic upon xeno-transplantation in immune-deficient mice. The two populations were purified in parallel by fluorescence activated cell sorting (FACS), starting from solid tumors established by sub-cutaneous (s.c.) engraftment in immune-deficient mice of a patient-derived xenograft (PDX) line representative of a moderately differentiated (G2) primary colon carcinoma. To identify genes whose expression is modulated by in vivo exposure to chemotherapy (and thus potentially involved in the mechanistic regulation of chemo-resistance), we compared the transcriptional profile of cells purified from tumors that were exposed to 4 weeks of in vivo treatment with either irinotecan (CPT-11) or a placebo control (saline solution).            ",Homo sapiens,Expression profiling by array,8,15207,NA,2024/05/01,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213103,NA
GSE279062,GSE,Gene expression profiles of interactions between colorectal cancer-associated fibroblasts and myeloid cells in 2D co-cultures and in novel next generation triple cultures containing colorectal cancer patient-derived organoids,"In this study colorectal cancer (CRC) patient-derived cancer-associated fibroblasts (CAFs) and primary monocytes or macrophages were co-cultured in 2D set-up and single-cell transcriptomics was employed to analyze the phenotypic and functional changes of the myeloid cells and CAFs upon their interaction. The results showed that CAFs instruct monocytes to gain a tumor-associated macropages (TAM)-like cells phenotype. In the next step, novel next generation tumor organoid cultures of myelid cells, CAFs and patient-derived CRC organoids (PDOs) were utilized to mimic the tumor microenvironment and study the phenotypic changes of cells under chemotherapy and oncolytic virus treatments. The sequencing data revealed that both treatments triggered distinct phenotypic changes and identified immunomodulatory effects of chemotherapy in TAM-like cells. Oncolytic virus treatment led to strong upregulation of Type I and II interferon signaling, while both therapies activated multiple cell-cell communication pathways, highlighting key molecular interactions relevant to the tumor microenvironment. This co-culture model provided insights into TAM-like responses, aiding precision cancer treatment evaluations.",Homo sapiens,Expression profiling by high throughput sequencing,7,24676,39500527,2024/10/13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279062,https://pubmed.ncbi.nlm.nih.gov/39500527/
GSE303732,GSE,Paired primary-metastasis patient-derived organoids and mouse models identify phenotypic evolution and druggable dependencies of peritoneal metastasis from appendiceal cancer,"Peritoneal carcinomatosis is a common yet deadly manifestation of gastrointestinal cancers, with few effective treatments. To identify targetable determinants of peritoneal metastasis, we focused on appendiceal adenocarcinoma (AC), a gastrointestinal cancer that metastasizes almost exclusively to the peritoneum. Current treatments are extrapolated from colorectal cancer (CRC), yet AC has distinct genomic alterations, mucinous morphology and peritoneum restricted metastatic pattern. Further, no stable preclinical models of AC exist, limiting drug discovery and representing an unmet clinical need. We establish a first-in-class stable biobank of 16 long-term cultured AC patient-derived organoids (PDOs), including 3 matched primary AC-peritoneal carcinomatosis (AC-PC) pairs. By enriching for cancer cells, AC PDOs enable accurate genomic characterization relative to paucicellular AC tissue. We establish an organoid orthotopic intraperitoneal xenograft model that recapitulates diffuse peritoneal carcinomatosis and show that PC-organoids retain increased metastatic capacity, decreased growth factor dependency and sensitivity to standard of care chemotherapy relative to matched primary AC organoids. Single cell profiling of AC-PC pairs reveals dedifferentiation from mucinous differentiated states in primary AC into intestinal stem cell and fetal progenitor states in PC, with upregulation of oncogenic signaling pathways. Through hypothesis-driven drug testing, we identify RAS inhibitor RMC-7977 and Wnt-targeting tyrosine kinase inhibitor WNTinib as novel, clinically actionable strategies to more effectively target AC-PC.",Homo sapiens,Expression profiling by high throughput sequencing,6,24676,NA,2026/04/29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303732,NA
GSE279979,GSE,Patient-derived Organoids and Xenografts Uncover Therapeutic Vulnerabilities in Colorectal Signet Ring Cell Carcinomas,"Purpose: Identifying therapeutic targets for Signet Ring Cell Carcinoma (SRCC) of the colon and rectum is a clinical challenge due to the lack of Patient-Derived Organoids (PDO) or Xenografts (PDX). We present a robust method to establish PDO and PDX models to address this unmet need. We demonstrate that these models identify novel therapeutic strategies targeting therapy resistance and peritoneal metastasis. Experimental Design: We derived nine PDO and PDX models from colorectal SRCC patients. Detailed histopathological characterization confirmed the fidelity of these models to the original tumors. Drug sensitivity assays were conducted in vitro and in vivo to assess therapeutic efficacy and impact on peritoneal metastasis. An RNA-seq analysis was performed to identify critical pathways contributing to therapy resistance and metastatic progression. Results: We successfully developed and characterized PDO and PDX models from nine SRCC patients. The SRCC PDO and PDX models exhibited histopathological features consistent with the original tumors, including high mucin content and eccentric nuclei. They demonstrated increased sensitivity to FOLFIRI combined with paclitaxel or vincristine, reducing peritoneal metastasis. RNA-seq analysis revealed the upregulation of autophagy genes in SRCC. Treatment with chloroquine alone resulted in decreased tumor growth and peritoneal metastasis. Conclusions: Our study establishes PDO and PDX models as robust platforms for studying SRCC and identifying potential therapeutic strategies. Combining FOLFIRI with paclitaxel/ vincristine or chloroquine alone inhibits tumor growth and prevents peritoneal metastasis, showing promise for clinical translation. These findings suggest that combining FOLFIRI with IP paclitaxel warrants further investigation in Phase I clinical trials for SRCC patients. These model systems offer a valuable tool to uncover new treatments for these aggressive and therapy-resistant tumors.",Homo sapiens,Expression profiling by high throughput sequencing,6,24676,39879477,2025/01/22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279979,https://pubmed.ncbi.nlm.nih.gov/39879477/
GSE239386,GSE,Trellis Single-Cell Screening Reveals Stromal Regulation of Patient-Derived Organoid Drug Responses,"Patient-derived organoids (PDOs) can model personalized therapy responses, however current screening technologies cannot reveal drug response mechanisms or how tumor microenvironment cells alter therapeutic performance. To address this, we developed a highly-multiplexed mass cytometry platform to measure post translational modification (PTM) signaling, DNA-damage, cell-cycle activity, and apoptosis in >2,500 colorectal cancer (CRC) PDOs and cancer associated fibroblasts (CAFs) in response to clinical therapies at single-cell resolution. To compare patient- and microenvironment specific drug responses in thousands of single-cell datasets, we developed Trellis — a highly-scalable, hierarchical tree-based treatment effect analysis method. Trellis single-cell screening revealed that on-target cell-cycle blockage and DNA-damage drug effects are common, even in chemorefractory PDOs. However, drug-induced apoptosis is rare, patient-specific, and aligns with cancer cell PTM signaling. We find that CAFs can regulate cancer cell plasticity — shifting proliferative stem cells to slow-cycling revival stem cells via YAP to protect cancer cells from chemotherapy.",Homo sapiens,Expression profiling by high throughput sequencing,4,24676,38065081,2023/12/06,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239386,https://pubmed.ncbi.nlm.nih.gov/38065081/
GSE164161,GSE,p53 wild-type colorectal cancer cells that express a fetal gene signature are associated with metastasis and poor prognosis,"Current therapy against colorectal cancer (CRC) is based on DNA-damaging agents that remain ineffective in a proportion of patients. Whether and how non-curative DNA damage-based treatment affects tumor cell behavior and patient outcome is primarily unstudied. Using CRC patient-derived organoids (PDO)s, we show that sublethal doses of chemotherapy (CT) does not select previously resistant tumor populations but induces a quiescent state specifically to TP53 wildtype (WT) cancer cells, which is linked to the acquisition of a YAP1-dependent fetal phenotype. Cells displaying this phenotype exhibit high tumor-initiating and metastatic activity. Nuclear YAP1 and fetal traits are present in a proportion of tumors at diagnosis and predict poor prognosis in patients carrying TP53 WT CRC tumors. We provide data indicating the higher efficacy of CT together with YAP1 inhibitors for eradication of therapy resistant TP53 WT cancer cells. Together these results identify fetal conversion as a useful biomarker for patient prognosis and therapy prescription.",Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,3,11154,35606354,2022/04/08,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164161,https://pubmed.ncbi.nlm.nih.gov/35606354/
GSE312260,GSE,Gene expression profile at single cell level of Irinotecan-sensitive and Irinotecan-resistant organoids for colorectal cancer,Organoids derived from both patients contained only epithelial cells.,Homo sapiens,Expression profiling by high throughput sequencing,2,24676,41678386,2026/07/07,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312260,https://pubmed.ncbi.nlm.nih.gov/41678386/
GSE312082,GSE,Translatome and transcriptome sequencing data of 16-day kinetic response in colorectal cancer to 5-FU chemotherapy,"Resistance to 5-fluorouracil (5-FU) remains a major challenge in colorectal cancer therapy, often resulting in tumor relapse fueled by drug-tolerant persister (DTP) cells. Unexpectedly, instead of suppressing translation under chemotherapeutic stress, 5-FU by integrating ribosomal RNA of persister cells drives a transient surge in protein synthesis, revealing a distinct adaptive state. This translational reprogramming drives a highly plastic subpopulation that supports survival under drug pressure. Integrated translatome profiling uncovered selective translation of mRNAs linked to survival pathways including epigenetic and metabolic changes, apoptosis resistance, cell cycle arrest and a senescence-like phenotype. Together, our findings uncover active translation as an unrecognized hallmark of the DTP state.",Homo sapiens,Expression profiling by high throughput sequencing,36,24676,NA,2025/12/07,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312082,NA
GSE218558,GSE,RNAseq of colorectal cancer organoids,We tested transcript profile of colorectal cancer (CRC) organoid from CRC patients. We compared the transcripts profile change between drug resistant organoid and drug sensitive organoid.,Homo sapiens,Expression profiling by high throughput sequencing,26,18573,NA,2022/11/29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218558,NA
GSE145356,GSE,Colorectal cancer cells possess an equipotent capacity to enter a reversible diapause-like state to survive chemotherapy,"Cancer cells enter a reversible drug tolerant persister (DTP) state to evade death from chemotherapies and targeted agents. It is increasingly appreciated that DTPs are an important driver of therapy failure and tumor relapse. We combined cellular barcoding and mathematical modeling in patient-derived colorectal cancer models to identify and characterize DTPs in response to chemotherapy. Barcode analysis revealed no loss in clonal complexity of tumors that entered the DTP state and recurred following treatment cessation. Our data fits a mathematical model where all cancer cells, and not a small subpopulation, possess an equipotent capacity to become DTPs. Mechanistically, we determined that DTPs display remarkable transcriptional and functional similarities to diapause, a reversible state of suspended embryonic development triggered by unfavorable environmental conditions. Our study provides insight into how cancer cells use a developmentally conserved mechanism to drive the DTP state pointing to novel therapeutic opportunities to target DTPs.",Homo sapiens,Expression profiling by high throughput sequencing,25,18573,33417860,2021/01/07,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145356,https://pubmed.ncbi.nlm.nih.gov/33417860/
